cluster_id	cell_type_v22	cell_state_v22	myonuclear_parent_v22	annotation_confidence	change_class	primary_analysis_include	positive_marker_evidence	interpretation_note
0	Type II	Body	Type II	high	unchanged	TRUE	TNNT3;MYH1;MYBPC2;TNNI2	Canonical fast-fibre programme
1	Type I	Body	Type I	high	unchanged	TRUE	TNNT1;MYBPC1;TPM3;ATP2A2	Canonical slow-fibre programme
2	Type II	Body	Type II	high	unchanged	TRUE	TNNT3;MYH1;MYH2;TNNI2	Canonical fast-fibre programme
3	Type I	Body	Type I	high	unchanged	TRUE	MYH7;TNNT1;ATP2A2;TPM3	Canonical slow-fibre programme
4	Type II	Body	Type II	high	unchanged	TRUE	TNNT3;MYH1;ATP2A1;TNNI2	Canonical fast-fibre programme
5	Type I	Body	Type I	high	unchanged	TRUE	MYH7;TNNT1;MYBPC1;TPM3	Canonical slow-fibre programme
6	FAP	Canonical	NA	high	unchanged	TRUE	DCN;COL6A3;COL1A2;COL3A1;FBN1;EBF1	Fibro-adipogenic progenitor programme
7	Specialized MF	Age/stress-associated	Type I	medium	unchanged	TRUE	TNNT1;RRAD;AKAP6;RUNX1;FOS	Existing broad group retained; evidence does not justify renaming it NMJ
8	Specialized MF	Denervation-associated (CHRNG+)	Type I	medium	unchanged	TRUE	TNNT1;CHRNG;CHRNA1;KCNQ5	Existing broad group retained; canonical NMJ evidence incomplete
9	Unresolved myonuclei	Neural-adhesion-high mixed-fibre	Mixed	low	definite_correction	FALSE	CNTNAP2;CSMD1;PTPRD;NRXN3;TTN	Neuron-like label rejected because the cluster retains a myonuclear programme; excluded rather than reassigned to a COMPASS group
10	Type I	Body	Type I	high	unchanged	TRUE	TNNT1;MYBPC1;ATP2A2;TPM3	Canonical slow-fibre programme
11	Type I	Body	Type I	high	unchanged	TRUE	TNNT1;ATP2A2;TPM3;MYH7	Canonical slow-fibre programme
12	Type II	Mitochondrial-high	Type II	medium	unchanged_with_flag	TRUE	MT-RNR2;MT-ATP6;MT-CO1;TNNT3	Existing Type II identity retained; high mitochondrial programme is a QC/sensitivity flag, not a forced relabel
13	Type II	Body	Type II	high	unchanged	TRUE	TNNT3;MYH1;TNNI2;ATP1A2	Canonical fast-fibre programme
14	EC	Vascular endothelial	NA	high	unchanged	TRUE	PTPRB;VWF;PECAM1;LDB2;MECOM	Canonical endothelial programme
15	Specialized MF	Denervation/atrophy-associated	Type I	medium	unchanged	TRUE	TNNT1;CHRNG;FBXO32;ATP2A2	Existing broad group retained; not called NMJ
16	MuSC	Satellite cell	NA	high	unchanged	TRUE	PAX7;NCAM1;CADM2;MEG3	Muscle stem/satellite-cell programme
17	Type II	Mixed-fibre mitochondrial	Type II	medium	definite_correction	TRUE	MYH1;ATP2A1;TNNT3;NOS1	Erythrocyte label rejected: fast-muscle genes dominate and erythroid markers do not
18	Myeloid cell	Macrophage-like	NA	high	unchanged	TRUE	STAB1;F13A1;MS4A7;MRC1	Myeloid/macrophage programme
19	Type II	Remodelling-associated	Type II	high	unchanged	TRUE	TNNT3;MYBPC2;RUNX1;KCNQ5	Fast-fibre programme
20	SMC	SMC/pericyte continuum	NA	high	unchanged_with_flag	TRUE	PDGFRB;NOTCH3;CARMN;CALD1	Existing SMC label retained; mural-cell continuum noted without forcing a new broad group
21	Type II	Body	Type II	high	unchanged	TRUE	TNNT3;MYH2;TNNI2;TPM1	Canonical fast-fibre programme
22	Unresolved myonuclei	Low-complexity/ribosomal	Mixed	low	definite_correction	FALSE	TPT1;RPL37A;RPLP1;TNNC2;MT-RNR2	Erythrocyte label rejected; exact fibre identity is not defensible, so excluded
23	Lymphocyte	Immune	NA	high	unchanged	TRUE	PTPRC;SKAP1;ARHGAP15;B2M	Lymphocyte programme
24	Type I	NCAM1+ MUSK+ specialized evidence	Type I	medium	unchanged_with_flag	TRUE	NCAM1;MUSK;DCLK1;TNNT1	Existing Type I group retained; specialized/denervation evidence recorded as a state flag only
25	EC	Vascular endothelial	NA	high	unchanged	TRUE	LDB2;PTPRB;VWF;PECAM1;MECOM	Canonical endothelial programme
26	Type I	Body	Type I	high	unchanged	TRUE	TNNT1;MYL2;TPM3;MYH7	Canonical slow-fibre programme
27	Unresolved nuclei	Mixed/low-confidence	Mixed	low	definite_correction	FALSE	SLC14A2;SYNPO2;KLRD1;COL14A1	Erythrocyte label rejected; mixed programmes and no defensible single lineage
28	FAP	Globin-locus-high	NA	low	unchanged_with_flag	TRUE	HBG2;HBE1;EBF1;NEGR1	Existing FAP group retained but extreme globin-locus signal is flagged for sensitivity analysis
29	Unresolved myonuclei	PCDHA-locus-high adhesion state	Mixed	low	definite_correction	FALSE	PCDHA1;PCDHA2;PCDHA3;PCDHA4;TTN	Erythrocyte label rejected; not reassigned to a COMPASS group pending validation
30	EC	MMRN1+ RHOJ+ endothelial	NA	high	definite_correction	TRUE	LDB2;TFPI;RHOJ;MMRN1;ERG	Fibroblast-like label rejected by a coherent endothelial programme
31	Adipocyte	Mature adipocyte	NA	high	unchanged	TRUE	PLIN1;PDE3B;PPARG;AQP7	Canonical adipocyte programme
32	Unresolved myonuclei	ZNF365-locus-high	Mixed	low	definite_correction	FALSE	ZNF365;AC024598.1;TTN-AS1;MYHAS	Erythrocyte label rejected; exact fibre state unresolved
33	Type I	Low-RNA	Type I	medium	definite_correction	TRUE	TNNT1;MYH7;TTN;TRDN	Neuron-like label rejected because the cluster is muscle and Type-I leaning; low-RNA flag retained

